CustomerID,Age,BankAge,Salary,E_IND,OVOL8,ONO3,ONO6,ONO9,Churn
fef35611,43,6,88428,1,1,6,4,2,0
feefffa2,30,3,17711,5,3,5,8,3,0
feeee00e,38,19,26787,4,2,5,6,3,0
feecc658,46,4,68884,4,2,4,9,4,0
feebac3b,39,13,38616,5,3,8,7,4,0
fedf7325,25,4,24205,1,1,1,0,2,0
fedd9865,49,25,109524,1,4,4,12,2,0
fedb1dc5,36,11,70825,5,0,3,9,5,0
fed08571,53,11,85415,4,0,3,9,3,0
fecec5e0,59,12,74645,2,2,1,3,2,1
feceb16d,46,3,99430,4,2,3,4,2,0
fecc7433,41,5,30235,3,1,5,3,3,0
fec43c77,30,6,32483,3,5,3,7,5,0
fec0bada,51,11,72604,4,3,8,9,0,0
febf73e1,42,11,62376,3,1,3,9,3,0
feb9cff0,47,2,94093,3,2,3,8,2,0
feb6a2f0,42,4,43676,5,0,3,6,3,0
fea4fadc,47,25,49281,5,7,9,11,8,0
fea2039a,41,14,26864,4,2,8,15,5,0
fe9ea38c,54,15,75622,3,1,5,16,6,0
fe9ab87b,34,9,33501,3,2,5,7,2,0
fe8eb019,75,25,63957,2,4,7,11,2,0
fe8ad0d2,28,7,36936,4,0,9,4,1,0
fe81ea94,52,15,77340,5,2,7,7,3,0
fe806d7f,41,2,32404,5,2,3,10,0,0
fe787062,41,14,43585,3,4,6,10,3,0
fe719542,65,12,68030,2,2,5,12,5,0
fe6dd18c,37,17,30318,5,1,5,10,2,0
fe6704b5,32,1,22505,3,1,3,6,0,0
fe633230,48,21,99458,3,7,4,12,4,0
fe601b50,18,0,15565,3,0,1,4,3,0
fe5540fe,42,9,70044,4,0,7,11,4,0
fe533531,37,3,28442,4,1,3,7,2,0
fe4d8ce3,40,10,76618,3,1,8,7,4,0
fe4c82d0,37,14,236031,5,4,5,9,2,0
fe42c95e,39,17,57673,5,5,5,9,8,0
fe425d0e,45,26,53902,1,5,8,12,1,0
fe3f1898,28,6,35640,2,2,2,10,3,0
fe2ba729,36,14,51535,2,1,5,8,9,0
fe294dd2,37,0,66222,3,1,4,2,2,0
fe262024,41,11,77298,4,5,3,11,0,0
fe1b5285,39,9,96609,4,0,5,8,3,0
fe18f975,50,27,93061,3,1,6,10,6,0
fe164ec9,44,13,55264,1,1,2,5,4,0
fe13b967,42,14,55916,1,3,2,9,1,0
fe13621f,37,11,41539,2,2,2,5,4,0
fe0d878b,33,5,33056,1,2,1,4,1,0
fdfb6df2,41,14,45727,1,2,0,8,3,0
fdf9f30c,33,11,71236,3,2,4,3,2,0
fdf000cf,27,4,29168,2,5,3,5,1,0
fdde79eb,38,10,51909,2,1,4,9,2,0
fddb701e,61,15,71423,1,1,10,9,2,0
fddadffc,44,10,62335,1,6,2,9,1,0
fdd4b28d,39,10,82318,1,1,6,8,0,0
fdd3889b,66,22,77778,1,2,7,13,3,0
fdd237ae,46,26,52974,5,3,10,12,2,0
fdcea583,62,0,74977,2,0,2,5,1,0
fdc367ed,23,2,27519,2,0,2,3,3,0
fdc0d070,51,2,90880,4,0,7,1,4,0
fdbc75d3,39,18,56042,4,0,5,4,3,0
fdbb5a44,65,7,54830,3,2,2,8,4,0
fdba347c,35,14,34589,3,4,3,7,4,0
fdb5330f,43,25,50972,1,4,8,14,8,0
fdb495ee,22,1,22188,4,2,4,5,3,0
fdab67a0,40,1,72213,4,0,4,4,3,1
fda9aead,22,1,20727,2,2,3,2,0,0
fda96ad9,43,13,53729,1,7,5,8,2,0
fda78189,18,0,19371,5,0,6,6,4,0
fd9ca2d3,62,22,96259,4,4,5,6,7,0
fd9772ae,32,3,48785,1,0,1,5,2,0
fd8d599d,18,0,25858,5,1,7,6,1,0
fd8b1b3c,48,6,90311,5,0,2,7,6,0
fd8aaac8,32,3,24464,2,1,3,7,2,1
fd855cff,31,9,69863,4,1,6,8,2,0
fd84ab81,18,0,15000,5,0,2,3,2,0
fd8499d7,40,5,66057,5,1,3,7,1,0
fd84217a,34,4,40067,1,1,0,3,0,0
fd74bdff,21,3,15000,3,3,1,4,2,0
fd6238ae,41,10,73942,1,0,5,4,2,0
fd61d583,18,0,17439,1,2,1,3,1,0
fd58d15a,40,2,51533,3,4,4,8,1,1
fd4ccd9c,43,9,59241,5,1,6,7,2,0
fd4bb65a,39,19,53635,5,1,8,7,3,0
fd3bc5b9,32,2,36737,4,0,2,6,8,0
fd39785d,30,9,15000,3,1,4,9,2,0
fd30e107,75,19,55754,2,2,7,14,1,0
fd2b8285,39,13,51937,2,2,6,6,3,0
fd24a60e,55,21,80320,3,5,5,13,6,0
fd228392,42,6,46877,2,2,3,2,3,1
fd13baac,36,6,41941,5,1,3,10,2,0
fd0cb125,71,6,70055,1,3,1,7,2,0
fd06943b,40,14,63457,2,2,7,7,2,0
fd001b57,37,2,34558,1,1,1,3,2,0
fcf0660b,55,11,73890,2,0,7,3,2,0
fcefed26,43,6,86164,4,3,9,6,6,0
fce42ed7,49,19,93283,4,2,5,13,5,0
fcd7528a,30,10,42797,4,0,5,13,2,0
fcd34ff1,48,19,77934,4,3,4,14,2,0
fcd0666b,50,9,77709,5,2,2,11,5,0
fcd061c0,54,14,86225,1,1,6,6,6,0
fcc67dbb,35,10,69633,5,2,4,8,6,0
fcc55bef,59,21,60956,1,3,2,8,3,0
fcc25302,25,4,24934,5,0,5,9,4,0
fcbba853,25,6,20589,3,0,4,8,1,0
fcbaa83f,36,11,47284,5,1,7,6,2,0
fcb7fdbe,39,12,46182,4,2,4,5,4,1
fcb56eb4,27,6,26243,5,3,6,5,4,0
fcb253bd,54,24,67721,3,4,6,11,7,0
fcabdf22,43,4,74069,5,0,2,6,2,0
fcab1b6a,32,13,39779,1,3,5,4,1,0
fcaad0b7,49,16,91427,5,2,7,8,4,0
fca1b831,41,13,53694,5,1,5,6,0,0
fc9f8cd1,56,12,80766,5,4,2,11,4,0
fc9b83ea,41,17,60758,1,2,3,5,2,0
fc9a9df2,42,21,49596,2,4,8,11,4,0
fc95d3fd,48,23,73299,1,3,5,10,5,0
fc90b259,39,4,55240,4,3,5,9,3,0
fc8f39f1,55,2,59480,3,2,1,7,1,0
fc80e693,31,2,46403,3,1,1,5,2,0
fc78ca30,29,6,34719,5,2,4,10,5,0
fc7889d9,33,9,24049,2,1,3,9,0,0
fc740d7a,18,0,24706,5,0,5,8,5,0
fc70372e,31,6,15000,1,1,0,12,3,0
fc6e27b1,24,0,27279,4,2,4,9,2,0
fc6c0882,57,29,85815,1,2,8,13,3,0
fc5eca98,33,14,25334,5,2,11,2,2,0
fc5e07df,32,14,55942,3,5,7,5,6,0
fc57de3e,30,2,19173,5,2,3,3,2,0
fc550824,63,19,77094,1,2,3,10,4,0
fc4fce60,44,22,36120,5,3,16,5,6,0
fc4966b0,50,2,72371,3,0,1,5,5,0
fc48bf35,35,16,43140,5,5,7,12,3,0
fc43df45,48,26,81492,2,2,10,12,2,0
fc439ee9,36,4,42524,2,0,0,5,1,0
fc3f7d8b,27,7,26914,1,1,3,7,8,0
fc3e3faa,40,4,54258,4,3,2,5,4,0
fc3b8c85,27,1,34155,4,0,2,5,3,0
fc38e53b,63,26,79165,5,5,9,14,5,0
fc36d096,51,3,93660,1,1,4,9,1,0
fc2afcdc,50,0,62161,3,0,1,9,4,0
fc2a1226,50,17,82530,5,5,6,7,6,0
fc20826c,61,12,69455,4,4,10,9,2,0
fc1c613b,32,10,15000,1,2,6,6,3,0
fc1ab2d1,32,1,31670,2,1,1,8,2,0
fc152f67,32,11,15000,5,2,8,3,7,0
fc0121f7,36,13,72240,3,2,4,9,4,0
fbfff20a,32,4,39666,3,1,0,6,1,0
fbfce909,48,22,94033,5,1,11,14,4,0
fbfbc90d,37,16,69537,1,2,3,8,2,0
fbf96ace,45,21,88330,1,6,3,6,5,0
fbf6b637,65,10,66796,2,1,4,4,1,0
fbf5477f,55,4,74470,2,2,4,3,1,0
fbf0e4f5,50,1,64742,4,2,6,3,4,0
fbefe8f7,47,9,79998,5,5,4,8,1,0
fbee0d75,18,0,15000,3,0,1,3,1,1
fbea89c0,44,5,52222,4,0,5,7,2,0
fbe52031,35,0,23635,4,3,3,6,3,0
fbddeb3b,33,8,56652,2,0,1,3,0,0
fbd1932d,47,7,68919,4,2,5,11,1,0
fbc6060a,35,7,23085,1,1,1,4,3,1
fbc2024e,61,18,88316,2,2,12,16,2,0
fbc07584,56,7,79665,1,2,3,6,1,0
fbbda50a,18,0,24013,3,1,4,4,0,0
fbbd8096,48,18,72063,4,5,10,11,2,0
fbb342e9,47,28,68189,1,3,6,10,2,0
fb9e38d6,49,2,73640,1,1,3,1,0,0
fb9cd8d1,41,1,73602,5,0,5,9,4,0
fb9a5219,52,30,83886,3,5,8,15,5,0
fb93e16b,18,0,15000,5,2,4,4,7,0
fb8f38cd,51,28,84589,5,4,6,16,9,0
fb860511,27,8,27762,2,2,3,3,3,0
fb844cef,41,16,50357,1,2,5,8,1,0
fb841bab,18,0,16917,3,4,4,6,2,0
fb7f7bf6,23,5,19481,5,3,4,5,3,0
fb7f333d,29,2,33509,2,0,2,4,1,0
fb7f0d78,46,3,44580,2,1,1,4,1,0
fb7e8d62,29,6,21710,5,1,3,7,5,0
fb74a8a4,32,4,44853,5,1,3,7,2,0
fb6d3d37,41,22,57286,3,4,8,14,4,0
fb69bf27,58,17,60980,4,3,11,7,6,0
fb66ed61,57,7,75592,4,2,2,10,4,0
fb665915,31,11,63071,1,3,8,3,1,0
fb53f448,33,11,33585,5,1,8,3,5,0
fb4e33d5,45,14,73931,2,3,2,8,3,0
fb4ce1d8,43,15,33467,5,4,4,10,2,0
fb4c674b,49,22,83599,5,7,12,6,13,0
fb313579,27,7,31715,4,1,9,4,3,0
fb2cda83,46,15,55684,3,2,5,9,6,0
fb28f3b4,30,6,15322,5,2,4,5,4,0
fb2481cb,37,1,64400,2,0,4,1,1,0
fb228b86,30,3,31502,4,2,5,4,3,0
fb22120d,18,0,19066,2,4,3,3,3,0
fb21b9a5,30,7,41076,1,0,3,5,4,0
fb213eab,47,14,106828,4,4,8,10,6,0
fb15003e,44,20,46035,5,1,12,11,8,0
fb12797a,43,1,63679,4,3,6,3,1,0
fb0fc83d,59,3,90844,2,1,2,4,1,0
fb0fb3d8,32,7,52816,2,0,3,8,4,0
fb0d8d28,31,10,38634,1,0,5,7,3,0
fafbf738,42,15,80148,3,3,3,6,4,0
fafab1b0,49,9,73598,3,4,3,4,4,0
fafa75ac,32,10,75379,1,5,2,4,1,1
faee55f7,26,0,27619,1,1,0,2,2,0
fae3092e,42,4,55836,2,1,1,1,2,1
fadb65f1,47,26,87881,2,4,8,12,12,0
fad95137,50,25,97569,4,8,10,7,2,0
fad27c22,34,14,30733,3,1,3,9,3,0
fad1ceba,36,8,49608,5,2,7,4,4,0
facb6fb6,27,7,23435,2,2,5,6,3,0
faca9281,27,4,40963,1,5,5,4,0,0
faca7b86,23,0,20754,5,0,5,7,1,0
fac96a0f,36,0,48237,4,0,3,9,3,0
fac29182,57,3,90212,3,0,1,5,2,0
fac2281f,54,14,66226,3,3,5,3,1,0
fac19fe8,37,14,63317,3,3,4,7,3,1
fac1324a,26,6,27447,1,0,2,9,0,0
fabc4dc7,51,27,71461,2,4,8,8,3,0
faba7a87,27,2,25222,2,1,2,3,6,0
fab646e3,55,9,86137,2,2,4,2,3,0
fab4e7a8,41,17,48864,4,1,7,9,3,0
faadfd35,21,3,27252,5,3,4,3,2,1
faac47cf,32,12,39820,4,0,3,11,8,0
faa79bc2,49,4,78268,1,2,0,8,3,0
faa13685,37,19,50885,1,2,7,9,2,0
fa9edfc8,47,3,79553,2,1,4,5,3,1
fa9760e7,75,20,52909,3,5,6,16,4,0
fa7992a7,42,18,44669,1,1,5,14,4,0
fa6b4012,18,0,18381,3,2,4,5,3,0
fa6a9d75,33,13,47754,4,3,9,6,3,0
fa650880,28,0,44983,5,1,7,7,3,0
fa62ba46,35,7,24016,1,2,3,8,2,0
fa5607bb,58,24,81979,4,4,7,9,5,0
fa4a0af2,40,20,79530,1,3,10,9,6,0
fa484de5,45,0,38624,1,2,1,3,2,0
fa467be4,24,3,29685,3,1,3,4,3,0
fa44f457,29,6,26637,2,1,3,0,1,0
fa431059,37,13,40677,5,1,5,10,5,0
fa3fcb48,50,12,92009,5,3,4,8,4,0
fa3d7d10,48,21,59314,2,1,1,11,0,0
fa38d0d8,18,0,23610,4,0,2,6,2,0
fa2f7a31,37,6,34311,5,5,3,11,6,0
fa25eac5,45,20,68895,1,7,5,13,5,0
fa2341d4,35,2,28236,1,1,3,5,2,0
fa14706d,18,0,23284,5,0,7,7,3,0
fa130485,51,11,70575,2,2,3,8,2,0
fa1080ea,42,11,72369,4,1,4,8,7,0
fa0a3668,29,9,39393,2,1,3,4,3,0
fa022922,33,4,16584,2,3,3,5,2,0
fa010ad9,42,8,50104,1,1,2,8,3,0
f9fcdd86,31,13,28959,5,2,4,6,3,0
f9f6b361,45,2,65233,1,3,3,2,0,0
f9f62335,57,12,96025,4,1,5,8,3,0
f9efa029,39,17,61958,5,1,7,11,9,0
f9ed5f13,53,10,81601,2,1,8,5,2,0
f9e81f62,26,8,34632,1,2,6,4,1,0
f9dee69d,40,4,38121,1,2,4,6,0,0
f9ddb1d4,24,0,31901,5,1,2,4,2,0
f9d71262,53,4,77107,5,1,3,9,2,0
f9d30017,60,23,91236,2,4,16,13,3,0
f9d18c3a,28,10,29252,3,3,9,8,3,0
f9ceb357,55,7,83874,4,2,8,5,4,0
f9c6854e,18,0,26249,3,0,3,1,1,1
f9c09f41,47,8,96553,3,1,2,9,1,0
f9bf2c31,42,0,49498,3,1,2,1,2,0
f9bc6c19,24,2,17962,3,0,3,3,3,0
f9b82d69,52,4,80979,5,1,6,3,2,0
f9b234db,44,7,70270,1,0,4,3,2,0
f9b1863b,27,7,28141,5,2,2,5,4,0
f9aa21f3,50,10,84059,5,1,6,12,2,0
f9a6bd53,33,1,38881,4,3,6,6,4,0
f9a5c13d,32,1,36154,5,1,5,3,3,0
f9991e5a,54,1,70598,2,2,2,4,2,0
f986e61b,44,17,82721,5,4,5,10,6,0
f980051e,31,9,43776,4,0,8,6,1,0
f97775bd,45,12,58837,5,1,7,8,4,0
f973cf8b,55,25,64061,2,4,9,5,6,0
f9736079,43,10,60721,4,1,4,6,4,0
f96e5df6,51,22,82803,1,2,5,13,8,0
f969ae36,41,5,52381,4,0,1,4,2,0
f96921c2,47,27,53290,3,5,8,10,6,0
f95b41b5,20,0,24541,1,1,2,4,3,1
f956aba9,33,6,31531,3,1,4,8,1,0
f952c024,30,3,47101,5,1,4,3,3,1
f94c3d55,49,27,62540,2,3,8,11,2,0
f947d11d,50,22,85791,1,1,4,7,2,0
f946c82d,28,6,27116,3,0,1,5,1,0
f93e21f3,54,1,84645,4,0,2,5,2,0
f935d27a,26,7,28450,3,6,2,6,3,0
f93407eb,47,13,76302,3,1,7,6,4,0
f92fc2e8,41,8,25971,1,2,4,7,5,1
f92c283c,51,2,70932,3,2,3,5,2,0
f92b6b9c,44,13,53762,4,0,5,10,3,0
f929a88f,27,0,29891,1,1,1,6,0,0
f9209dd2,24,0,24691,1,1,2,6,1,0
f91a0a2b,36,7,29912,3,1,4,8,1,0
f91708c8,36,12,54340,3,0,6,5,5,0
f90c97dd,30,4,17598,4,2,2,4,2,0
f90c1dee,39,8,85923,1,0,6,4,4,0
f90b7e99,28,10,40131,4,2,6,8,4,0
f9055f26,66,6,67435,2,2,4,9,3,0
f903d781,38,15,62062,4,4,5,10,3,0
f8f2d0f4,54,29,66391,1,1,6,15,3,0
f8f27417,60,7,72185,3,2,8,6,1,0
f8f0a430,52,11,76884,2,5,10,9,2,0
f8ef88c8,30,11,31637,2,0,5,5,3,0
f8eee685,34,15,44532,2,3,2,10,2,1
f8eeb092,39,11,57923,4,5,8,8,5,0
f8ed3171,49,14,81709,4,1,7,8,2,0
f8eb9a1c,65,16,64451,3,2,5,7,5,0
f8eb1704,55,19,72632,4,6,16,9,3,0
f8e7eda2,40,22,43614,1,8,11,5,3,0
f8e4b601,49,1,40479,1,0,2,1,2,0
f8e4ac6d,48,0,79579,4,0,4,3,3,0
f8e3e73d,51,5,84631,2,2,2,5,1,0
f8dfe2f6,26,8,30427,3,2,4,5,4,0
f8d6054a,57,22,77154,1,1,10,13,5,0
f8d25095,22,2,21868,1,3,3,4,1,0
f8d193ba,34,5,15000,5,3,3,6,2,0
f8ce421d,36,15,49517,2,2,4,8,3,0
f8cca91e,23,1,20817,1,0,2,1,3,1
f8cb5d82,57,9,74706,5,3,6,11,5,0
f8caab38,35,0,15000,5,1,3,12,0,0
f8c9b82c,31,6,40732,3,3,2,3,5,0
f8c879c3,55,19,68097,5,3,5,9,5,0
f8c4bbac,49,15,74977,4,0,5,10,2,0
f8b698b7,28,4,27633,2,0,1,3,2,1
f8b48c1a,41,6,64373,5,2,5,4,6,1
f8a13f61,56,2,80464,3,2,3,1,3,0
f8988407,34,12,32847,3,3,4,6,2,0
f89819b8,46,4,65127,1,1,4,5,1,0
f8949b0f,46,0,61477,4,1,2,8,2,0
f890b7bd,25,2,27152,2,1,4,4,1,0
f88d1129,36,17,34248,3,2,2,4,4,0
f88bf239,28,9,32749,4,0,3,9,3,0
f88bb511,47,2,63958,3,1,3,3,3,0
f8844e89,48,8,44395,1,2,5,5,3,0
f8834047,53,16,96186,5,1,7,9,3,0
f8789001,34,12,31496,3,1,0,4,2,1
f877402f,57,13,83967,4,3,5,7,3,0
f8724eb6,28,10,31433,5,2,5,11,5,0
f871529a,26,1,30918,4,2,2,3,2,0
f8697a2b,35,8,93015,5,0,1,10,3,0
f85d8237,40,19,51581,2,2,4,14,2,0
f854446d,30,1,22905,2,2,0,5,4,1
f8534a9d,51,12,73733,2,2,7,5,3,0
f851b15f,55,23,73955,4,2,8,7,7,0
f84f39a9,47,10,60979,1,1,8,7,1,0
f84e852c,30,8,28445,5,0,5,12,7,1
f84c42a6,41,19,54716,4,5,6,10,4,0
f8480b1d,42,0,65398,5,0,3,9,0,0
f841947a,58,21,65313,1,3,4,12,2,0
f83b5fb7,39,12,84042,5,2,4,16,4,0
f8377879,36,6,17004,4,1,6,6,1,0
f83651e0,55,16,74646,3,1,6,10,6,0
f8339fd1,18,0,23369,5,1,5,5,5,1
f829c25a,33,6,38052,4,0,3,10,5,0
f81a744f,36,18,27941,1,1,1,12,5,0
f8196386,32,12,33179,5,1,4,8,8,0
f8176ef2,28,7,30141,5,1,6,11,1,0
f80b89d9,46,11,82260,1,2,4,7,1,0
f80863bb,48,21,88609,4,6,6,14,4,0
f802b2b1,45,21,62236,5,2,8,7,2,1
f7f48fa9,32,2,50526,4,1,4,7,2,1
f7f43478,54,5,84252,4,2,1,7,5,0
f7f303b8,21,1,18177,1,1,1,4,1,1
f7f09828,24,3,27110,1,2,2,6,2,0
f7eb2b44,31,1,27072,3,0,1,3,3,0
f7eb2011,34,16,45575,5,3,7,8,8,0
f7e752bd,58,18,76506,5,1,7,10,3,0
f7e722fd,44,10,62664,3,4,10,6,1,0
f7e3f722,51,24,74336,5,6,8,16,6,0
f7deb2c1,41,5,49648,1,1,4,3,5,0
f7dd2d12,44,4,54726,3,1,3,9,3,0
f7da66b9,20,2,22013,3,1,0,1,1,0
f7d9bb9e,35,16,59511,3,1,5,7,5,0
f7ce65ad,67,7,77759,4,2,3,7,1,0
f7cbfe30,48,11,73538,3,2,5,6,1,0
f7c9ffab,23,2,27010,2,0,4,7,1,0
f7c9b5fe,42,7,63896,3,1,5,11,2,0
f7c96568,43,0,75738,4,1,3,5,5,0
f7c494af,32,11,38262,1,4,8,7,4,0
f7bdcbc1,47,1,67058,2,0,1,4,0,0
f7b928f9,24,0,26804,4,3,2,8,2,0
f7ae2a10,46,17,85040,2,1,7,11,3,0
f7aa00bd,44,6,63504,4,1,1,3,2,1
f7a48d5e,21,0,18871,3,0,4,4,1,0
f79fbb90,52,7,84085,4,1,5,9,6,0
f79b1b56,40,3,64037,4,1,1,12,2,0
f79905ad,35,15,67538,5,4,7,13,2,0
f78ca3de,67,6,82436,4,1,4,8,4,0
f78a6a18,31,10,42675,4,5,4,9,3,0
f78529ed,44,0,43579,5,1,4,6,5,0
f7847295,42,1,70896,1,2,1,4,2,0
f7819571,22,4,21496,4,1,3,4,5,0
f78126b6,38,2,67280,5,3,2,5,7,0
f77b68da,46,22,79605,3,2,5,9,2,0
f77b6814,37,7,43864,4,4,6,6,1,0
f77a4593,39,4,57793,1,1,5,4,0,0
f7770fa7,42,9,74041,2,3,6,7,3,0
f776f6a8,56,17,72540,3,2,6,9,2,0
f773a45e,31,5,54379,1,1,2,2,3,0
f7734a27,30,2,44136,5,2,2,8,0,0
f7731807,36,11,46703,4,1,5,9,3,0
f76bee90,49,16,53107,1,3,5,6,4,0
f76bcc50,27,7,26507,2,2,6,4,1,0
f76bc967,36,13,46191,1,2,4,7,2,0
f7639d57,40,17,60991,4,1,5,8,6,0
f762fd49,19,1,21432,2,3,1,4,1,0
f761da1f,34,9,32851,2,2,4,7,5,0
f760dfbd,21,0,15827,2,1,5,9,1,0
f76004f8,25,0,30001,5,1,6,3,6,0
f75df1aa,51,22,64405,4,3,5,13,4,0
f759f780,30,8,39318,4,4,5,8,1,0
f757d1ce,41,7,64486,1,4,1,5,0,0
f7499c28,24,4,24407,3,2,4,4,3,0
f73fd6a6,27,9,20648,3,2,7,6,1,0
f73c134f,20,0,15000,3,0,3,3,3,0
f734ff6c,50,5,75459,2,0,4,3,3,0
f72cf878,21,0,16501,2,0,1,2,1,0
f70fe467,39,14,57513,1,3,8,8,7,0
f6fec961,31,10,64755,1,3,2,1,4,0
f6fddc84,37,5,65318,5,1,8,8,5,0
f6f656a5,24,4,33539,3,0,6,5,1,0
f6f301b1,37,4,52699,2,0,4,7,0,0
f6ed92ed,21,2,23400,3,1,1,4,0,0
f6e8e3a3,49,21,79586,4,4,9,10,3,0
f6e74c84,39,8,51714,4,4,5,10,1,0
f6e602db,35,12,43841,2,1,8,6,0,0
f6e4f948,56,2,75920,1,6,3,6,0,0
f6e49e91,42,23,55291,5,2,5,8,7,0
f6e36138,41,22,73502,4,5,6,9,3,0
f6d47265,30,10,52213,5,1,4,11,6,0
f6d1c7d7,45,11,50909,2,2,5,8,1,0
f6cbdc67,38,10,99331,2,1,4,4,3,0
f6c52522,51,4,79807,1,0,3,5,4,1
f6c2fc30,29,4,24421,5,0,4,10,3,0
f6c17189,51,1,72122,5,0,7,7,4,0
f6bfae96,48,8,72605,4,2,7,7,8,0
f6beff8f,40,10,44578,1,1,2,4,4,0
f6bc200b,36,14,45018,5,4,4,10,5,0
f6b7e749,36,15,43318,2,0,5,6,2,0
f6b74b2b,43,16,58471,3,5,7,10,7,0
f6b01062,30,6,39960,5,3,4,12,3,0
f6ae9d12,18,0,15000,3,2,3,5,3,0
f6ad1785,29,11,33957,3,2,7,3,6,0
f6a518eb,38,18,54827,3,4,7,11,5,0
f6a3f1e5,45,6,68920,5,0,4,7,5,0
f69936b0,46,16,64410,5,6,6,9,4,0
f690728b,42,21,61885,2,6,6,13,7,0
f68d1f3b,28,3,21932,2,0,1,4,1,0
f68a5925,50,12,82722,1,2,5,6,3,1
f68938f1,45,21,72871,1,2,4,12,1,0
f681fbf9,47,19,71180,2,2,7,9,4,0
f68112a2,21,1,20673,2,1,3,4,1,0
f67c5657,30,0,29255,5,0,2,7,1,0
f66d2b3d,31,9,15000,3,7,1,5,3,0
f66cbb3e,40,4,49987,4,1,3,9,3,0
f664e5e2,47,26,88536,2,2,12,11,5,0
f662d925,22,3,25277,2,2,2,5,3,0
f65f5825,43,20,69953,2,2,3,7,4,0
f65e7eb3,34,11,15000,4,3,6,9,4,0
f65a98a9,18,0,15307,1,1,1,4,1,0
f659f029,29,6,43463,1,1,2,5,0,0
f65541b6,47,14,74783,3,2,3,6,1,0
f64e2fb3,56,8,78061,3,4,7,9,3,0
f64b4f14,27,9,30987,3,3,5,4,2,0
f64a1408,55,12,89749,4,1,7,7,3,0
f6491dcf,40,18,76263,3,3,2,5,3,0
f646bf21,44,10,83705,5,4,6,11,6,0
f64328f1,37,4,45871,4,1,3,5,2,1
f6407b29,54,23,69321,4,7,8,10,4,0
f6348dba,46,25,81154,4,3,6,6,1,0
f633e511,31,12,22615,2,1,4,6,7,0
f628ce1b,32,13,15867,5,0,6,16,4,1
f627cf7c,46,28,72064,2,3,3,7,2,0
f61e8503,46,26,76735,5,3,8,25,6,0
f61e1197,25,3,22280,3,0,2,4,1,0
f61d765b,49,27,99988,2,3,5,12,4,0
f61c9bad,25,4,17217,4,1,6,6,2,1
f616daf7,37,11,56364,4,3,2,8,4,1
